lr-AdamW,created_at,train/loss_simple_step,train/loss_vlb_step,train/loss_step,global_step,lr_abs,epoch,train/loss_simple_epoch,train/loss_vlb_epoch,train/loss_epoch
1.6e-09,2024-03-25 23:05:57.949053,,,,,,,,,
,2024-03-25 23:05:59.829593,0.0777130052447319,0.00038027309346944094,0.0777130052447319,461299.0,1.6000000213622911e-09,370.0,,,
1.6e-09,2024-03-25 23:07:33.232875,,,,,,,,,
,2024-03-25 23:07:35.121708,0.0666281059384346,0.00034719647374004126,0.0666281059384346,461349.0,1.6000000213622911e-09,370.0,,,
1.6e-09,2024-03-25 23:09:08.574585,,,,,,,,,
,2024-03-25 23:09:10.464949,0.10890448093414307,0.0005870695458725095,0.10890448093414307,461399.0,1.6000000213622911e-09,370.0,,,
1.6e-09,2024-03-25 23:10:44.117036,,,,,,,,,
,2024-03-25 23:10:46.009481,0.07660383731126785,0.00037961616180837154,0.07660383731126785,461449.0,1.6000000213622911e-09,370.0,,,
1.6e-09,2024-03-25 23:12:19.692822,,,,,,,,,
,2024-03-25 23:12:21.592320,0.23478858172893524,0.0024948737118393183,0.23478858172893524,461499.0,1.6000000213622911e-09,370.0,,,
1.6e-09,2024-03-25 23:13:55.255007,,,,,,,,,
,2024-03-25 23:13:57.147530,0.06671410799026489,0.00033302928204648197,0.06671410799026489,461549.0,1.6000000213622911e-09,370.0,,,
1.6e-09,2024-03-25 23:15:30.777175,,,,,,,,,
,2024-03-25 23:15:32.675814,0.06725097447633743,0.00048422228428535163,0.06725097447633743,461599.0,1.6000000213622911e-09,370.0,,,
1.6e-09,2024-03-25 23:17:06.321117,,,,,,,,,
,2024-03-25 23:17:08.203336,0.0894065722823143,0.00039295139140449464,0.0894065722823143,461649.0,1.6000000213622911e-09,370.0,,,
1.6e-09,2024-03-25 23:18:41.872512,,,,,,,,,
,2024-03-25 23:18:43.761204,0.06757667660713196,0.0003218990459572524,0.06757667660713196,461699.0,1.6000000213622911e-09,370.0,,,
1.6e-09,2024-03-25 23:20:17.570911,,,,,,,,,
,2024-03-25 23:20:19.469047,0.08757546544075012,0.0004297294653952122,0.08757546544075012,461749.0,1.6000000213622911e-09,370.0,,,
1.6e-09,2024-03-25 23:21:53.231641,,,,,,,,,
,2024-03-25 23:21:55.119608,0.10340362787246704,0.0005897506489418447,0.10340362787246704,461799.0,1.6000000213622911e-09,370.0,,,
1.6e-09,2024-03-25 23:23:29.459342,,,,,,,,,
,2024-03-25 23:23:31.359091,0.18189944326877594,0.0024863106664270163,0.18189944326877594,461849.0,1.6000000213622911e-09,370.0,,,
1.6e-09,2024-03-25 23:25:05.225425,,,,,,,,,
,2024-03-25 23:25:07.126212,0.06577789038419724,0.0003017301787622273,0.06577789038419724,461899.0,1.6000000213622911e-09,370.0,,,
1.6e-09,2024-03-25 23:26:40.979101,,,,,,,,,
,2024-03-25 23:26:42.881062,0.08513826131820679,0.00038712110836058855,0.08513826131820679,461949.0,1.6000000213622911e-09,370.0,,,
1.6e-09,2024-03-25 23:28:16.719478,,,,,,,,,
,2024-03-25 23:28:18.619046,0.16680960357189178,0.0017737969756126404,0.16680960357189178,461999.0,1.6000000213622911e-09,370.0,,,
1.6e-09,2024-03-25 23:29:52.463065,,,,,,,,,
,2024-03-25 23:29:54.350610,0.22573734819889069,0.09475377947092056,0.22573734819889069,462049.0,1.6000000213622911e-09,370.0,,,
1.6e-09,2024-03-25 23:31:28.159551,,,,,,,,,
,2024-03-25 23:31:30.058732,0.05085607245564461,0.00026277857250534,0.05085607245564461,462099.0,1.6000000213622911e-09,370.0,,,
1.6e-09,2024-03-25 23:33:03.908382,,,,,,,,,
,2024-03-25 23:33:05.800446,0.13491377234458923,0.003302727360278368,0.13491377234458923,462149.0,1.6000000213622911e-09,370.0,,,
1.6e-09,2024-03-25 23:34:39.632863,,,,,,,,,
,2024-03-25 23:34:41.523664,0.18385303020477295,0.0014109291369095445,0.18385303020477295,462199.0,1.6000000213622911e-09,370.0,,,
1.6e-09,2024-03-25 23:36:15.351828,,,,,,,,,
,2024-03-25 23:36:17.246039,0.0627279207110405,0.00034266713191755116,0.0627279207110405,462249.0,1.6000000213622911e-09,370.0,,,
1.6e-09,2024-03-25 23:37:51.000913,,,,,,,,,
,2024-03-25 23:37:52.894137,0.02032541297376156,0.00014143757289275527,0.02032541297376156,462299.0,1.6000000213622911e-09,370.0,,,
1.6e-09,2024-03-25 23:39:26.769822,,,,,,,,,
,2024-03-25 23:39:28.669147,0.08980196714401245,0.000542743131518364,0.08980196714401245,462349.0,1.6000000213622911e-09,370.0,,,
1.6e-09,2024-03-25 23:41:02.630976,,,,,,,,,
,2024-03-25 23:41:04.526996,0.12508168816566467,0.0037027643993496895,0.12508168816566467,462399.0,1.6000000213622911e-09,370.0,,,
1.6e-09,2024-03-25 23:42:38.464436,,,,,,,,,
,2024-03-25 23:42:40.371659,0.031423766165971756,0.00018484939937479794,0.031423766165971756,462449.0,1.6000000213622911e-09,370.0,,,
1.6e-09,2024-03-25 23:44:14.198329,,,,,,,,,
,2024-03-25 23:44:16.098507,0.25913873314857483,0.003024178557097912,0.25913873314857483,462499.0,1.6000000213622911e-09,370.0,,,
1.6e-09,2024-03-25 23:45:50.003131,,,,,,,,,
,2024-03-25 23:45:51.897951,0.049062155187129974,0.0002639008453115821,0.049062155187129974,462549.0,1.6000000213622911e-09,370.0,,,
1.6e-09,2024-03-25 23:47:25.792695,,,,,,,,,
,2024-03-25 23:47:27.697622,0.04359924793243408,0.00026494174380786717,0.04359924793243408,462599.0,1.6000000213622911e-09,370.0,,,
1.6e-09,2024-03-25 23:49:01.618866,,,,,,,,,
,2024-03-25 23:49:03.511309,0.10435497760772705,0.0023149976041167974,0.10435497760772705,462649.0,1.6000000213622911e-09,370.0,,,
1.6e-09,2024-03-25 23:50:37.504081,,,,,,,,,
,2024-03-25 23:50:39.400794,0.08598190546035767,0.0005949208280071616,0.08598190546035767,462699.0,1.6000000213622911e-09,370.0,,,
1.6e-09,2024-03-25 23:52:13.416067,,,,,,,,,
,2024-03-25 23:52:15.306845,0.07185924053192139,0.0003663825336843729,0.07185924053192139,462749.0,1.6000000213622911e-09,370.0,,,
1.6e-09,2024-03-25 23:53:49.358955,,,,,,,,,
,2024-03-25 23:53:51.260990,0.055331312119960785,0.00026783806970342994,0.055331312119960785,462799.0,1.6000000213622911e-09,370.0,,,
1.6e-09,2024-03-25 23:55:25.238719,,,,,,,,,
,2024-03-25 23:55:27.141356,0.06401535123586655,0.00031785760074853897,0.06401535123586655,462849.0,1.6000000213622911e-09,370.0,,,
1.6e-09,2024-03-25 23:57:01.108588,,,,,,,,,
,2024-03-25 23:57:03.001055,0.044826727360486984,0.00025927278329618275,0.044826727360486984,462899.0,1.6000000213622911e-09,370.0,,,
1.6e-09,2024-03-25 23:58:36.933582,,,,,,,,,
,2024-03-25 23:58:38.826258,0.08440626412630081,0.000431747583206743,0.08440626412630081,462949.0,1.6000000213622911e-09,370.0,,,
1.6e-09,2024-03-26 00:00:12.826629,,,,,,,,,
,2024-03-26 00:00:14.723399,0.02995961531996727,0.00016075681196525693,0.02995961531996727,462999.0,1.6000000213622911e-09,370.0,,,
1.6e-09,2024-03-26 00:01:49.204931,,,,,,,,,
,2024-03-26 00:01:51.109748,0.01892026886343956,0.00012755332863889635,0.01892026886343956,463049.0,1.6000000213622911e-09,370.0,,,
1.6e-09,2024-03-26 00:03:25.096348,,,,,,,,,
,2024-03-26 00:03:26.997327,0.012880721129477024,9.980815229937434e-05,0.012880721129477024,463099.0,1.6000000213622911e-09,370.0,,,
1.6e-09,2024-03-26 00:05:00.969688,,,,,,,,,
,2024-03-26 00:05:02.867482,0.1306162178516388,0.0008701628539711237,0.1306162178516388,463149.0,1.6000000213622911e-09,370.0,,,
1.6e-09,2024-03-26 00:06:36.843587,,,,,,,,,
,2024-03-26 00:06:38.750344,0.04520898312330246,0.000254119309829548,0.04520898312330246,463199.0,1.6000000213622911e-09,370.0,,,
1.6e-09,2024-03-26 00:08:12.813147,,,,,,,,,
,2024-03-26 00:08:14.712229,0.07976392656564713,0.0003769625327549875,0.07976392656564713,463249.0,1.6000000213622911e-09,370.0,,,
1.6e-09,2024-03-26 00:09:48.724798,,,,,,,,,
,2024-03-26 00:09:50.621564,0.03291700407862663,0.00016629198216833174,0.03291700407862663,463299.0,1.6000000213622911e-09,370.0,,,
